Year,Film
2010,Inception
2010,Alice in Wonderland
2010,Harry Potter and the Deathly Hallows - Part 1
2010,Hereafter
2010,Iron Man 2
2011,Hugo
2011,Harry Potter and the Deathly Hallows - Part 2
2011,Real Steel
2011,Rise of the Planet of the Apes
2011,Transformers: Dark of the Moon
2012,Life of Pi
2012,The Hobbit: An Unexpected Journey
2012,Marvel's The Avengers
2012,Prometheus
2012,Snow White and the Huntsman
2013,Gravity
2013,The Hobbit: The Desolation of Smaug
2013,Iron Man 3
2013,The Lone Ranger
2013,Star Trek Into Darkness
2014,Interstellar
2014,Captain America: The Winter Soldier
2014,Dawn of the Planet of the Apes
2014,Guardians of the Galaxy
2014,X-Men: Days of Future Past
2015,Ex Machina
2015,Mad Max: Fury Road
2015,The Martian
2015,The Revenant
2015,Star Wars: The Force Awakens
2016,The Jungle Book
2016,Deepwater Horizon
2016,Doctor Strange
2016,Kubo and the Two Strings
2016,Rogue One: A Star Wars Story
2017,Blade Runner 2049
2017,Guardians of the Galaxy Vol. 2
2017,Kong: Skull Island
2017,Star Wars: The Last Jedi
2017,War for the Planet of the Apes
2018,First Man
2018,Avengers: Infinity War
2018,Christopher Robin
2018,Ready Player One
2018,Solo: A Star Wars Story
2019,1917
2019,Avengers: Endgame
2019,The Irishman
2019,The Lion King
2019,Star Wars: The Rise of Skywalker
